name,ticker,ca,amount,price,total_value,anti_whale_modifiable,buy_tax,can_take_back_ownership,cannot_buy,cannot_sell_all,creator_address,creator_balance,creator_percent,external_call,fake_token,hidden_owner,holder_count,honeypot_with_same_creator,is_airdrop_scam,is_anti_whale,is_blacklisted,is_honeypot,is_in_dex,is_mintable,is_open_source,is_proxy,is_true_token,is_whitelisted,lp_holder_count,lp_total_supply,note,other_potential_risks,owner_address,owner_balance,owner_change_balance,owner_percent,personal_slippage_modifiable,selfdestruct,sell_tax,slippage_modifiable,token_name,token_symbol,total_supply,trading_cooldown,transfer_pausable,trust_list
0xGen AI,GENAI,0x939c04BfcD2AF3fd153e8007c15089FcdD024e6f,8413800000.0,0,0,False,0.0,False,False,False,0x241baec99519a0aba42ee88cd21eb336ded647e8,4206900000.0,0.01,True,,False,269.0,True,,False,False,True,True,False,True,False,,False,2.0,43.78452158012007,,,0x0000000000000000000000000000000000000000,0.0,1.0,0.0,False,False,,False,0xGen AI,GENAI,420690000000.0,False,False,False
9290.eth,9290.eth,0x7f401B4d183D5D01eaA96076bcD16A71612D7157,200000000.0,0,0,False,0.0,False,False,False,0x6037abc12e8715847c1c0fa354995950adc9ce9f,0.0,0.0,False,,True,27.0,False,,True,True,False,True,False,True,False,,True,2.0,2.8,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,0.0,True,9290.eth,9290.eth,10000000000.0,False,False,False
Abacus AI,ABAI,0xDE88BB259518D2d0771FCB857905154742898218,8413800000.0,0,0,False,0.0,False,False,False,0x51014ab69b37db213b1b4311390200f4e44b9583,0.0,0.0,True,,False,188.0,True,,False,False,True,True,False,True,False,,False,2.0,27.84024525754039,,,0x0000000000000000000000000000000000000000,0.0,1.0,0.0,False,False,,False,Abacus AI,ABAI,420690000000.0,False,False,False
AfD,AfD,0x2aa8F3AA1a5E3983F713588f48b8207DCfefeBA7,8413800000.0,0,0,False,0.0,False,False,False,0x39607f02c2a1991e77290274584de7b6d6669d60,0.0,0.0,True,,False,121.0,False,,False,False,True,True,False,True,False,,False,2.0,19.686026211503428,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,,False,AfD,AfD,420690000000.0,False,False,False
AGNEZ,AGNEZ,0x7c073804DC26dAA4a6DB3738E1F04de1497206e7,8413800000.0,0,0,False,0.0,False,False,False,0xfb1ad8fee0abb808845698f993587552e7dbf788,0.0,0.0,True,,False,136.0,False,,False,False,True,True,False,True,False,,False,2.0,19.686026211503428,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,,False,AGNEZ,AGNEZ,420690000000.0,False,False,False
Aloha AI Protocol,ALOHA,0x73B4Bc106Df735F263B277dBFDe6f48365895157,8413800000.0,0,0,False,0.0,False,False,False,0xa3375762b85bccb2242b97d562eef6394261f79a,4206900000.0,0.01,True,,False,222.0,True,,False,False,True,True,False,True,False,,False,2.0,23.9817701390035,,,0x0000000000000000000000000000000000000000,0.0,1.0,0.0,False,False,,False,Aloha AI Protocol,ALOHA,420690000000.0,False,False,False
America,USA,0x806556cf7E17CFC743B003645429e92F4707312F,42069.0,0,0,False,0.0,False,False,False,0x0e7e5a24cbf9d235c9d9e1d538997abdc2910250,0.0,0.0,False,,False,429.0,False,,False,False,False,True,False,True,False,,False,6.0,45709.957504604536,,,,0.0,0.0,0.0,False,False,0.0,False,America,USA,336827358.0,False,False,False
Anderson Coper,COPER,0x049DB926507b46cf9cA7D780F517d0E078CEdcF0,8413800000.0,0,0,False,0.0,False,False,False,0xb43aa2882238cbc603cd3ef155209154484253bf,0.0,0.0,True,,False,105.0,True,,False,False,True,True,False,True,False,,False,2.0,19.686026211503428,,,0x0000000000000000000000000000000000000000,0.0,1.0,0.0,False,False,,False,Anderson Coper,COPER,420690000000.0,False,False,False
AOBA,AOBA,0xF30c404d4AC26142395FbFf1d9b20aE5283e869A,8413800000.0,0,0,False,0.0,False,False,False,0x76a9c492dce3038441606e911842de6925e2e04b,0.0,0.0,True,,False,105.0,False,,False,False,True,True,False,True,False,,False,2.0,19.686026211503428,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,,False,AOBA,AOBA,420690000000.0,False,False,False
Apescreener AI,APEAI,0x35d1697e302645d1d5330452a4713dd5aa6cfcf4,8413800000.0,0,0,False,0.0,False,False,False,0x2917d644dbced3da2a4e20138ca5cbba3dc57970,0.0,0.0,False,,False,243.0,True,,False,False,True,True,False,True,False,,False,2.0,19.686026211503428,,,0x0000000000000000000000000000000000000000,0.0,1.0,0.0,False,False,0.0,False,Apescreener AI,APEAI,420690000000.0,False,False,False
